IDs;IPA names
ANK1;ANK1
BDH1;BDH1
BIM/BCL2;BCL2L11
CCDC124;CCDC124
CD105/ENG;ENG
CD110/MPL;MPL
CD117/KIT;KIT
CD123/IL3RA;IL3RA
CD135/FLT3;FLT3
CD34;CD34
CD36;CD36
CD38;CD38
CD41/ITGA2B;ITGA2B
CD42/GP1BA;GP1BA
CD44;CD44
CD47;CD47
CD61/ITGB3;ITGB3
CD71/TFRC;TFRC
CD9;CD9
CDK4;CDK4
CDK6;CDK6
CLU;CLU
CNRIP1;CNRIP1
CTNNB1;CTNNB1
CXCR4;CXCR4
DDB1;DDB1
DHRS3;DHRS3
EIF4EBP1;EIF4EBP1
ETS1;ETS1
FHL1;FHL1
FLI1;FLI1
FOG1/ZFPM1;ZFPM1
FOXO3;FOXO3
GABPA;GABPA
GATA1;GATA1
GATA2;GATA2
GFI1B;GFI1B
HIF1A;HIF1A
HPRT1;HPRT1
JAK2;JAK2
KLF1;KLF1
LOX;LOX
LSD1/KDM1A;KDM1A
MCL1;MCL1
MEIS1;MEIS1
MYB;MYB
NFIB;NFIB
P27KIP1/CDKN1B;CDKN1B
PFKP;PFKP
PIM1;PIM1
RGS18;RGS18
RUNX1;RUNX1
SDPR;CAVIN2
SELP;SELP
SPI1;SPI1
SRD5A3;SRD5A3
TAL1;TAL1
TGFB1;TGFB1
TMEM180/MFSD13A;MFSD13A
TMOD1;TMOD1
TUBB2A;TUBB2A
VWF;VWF